Batch Index,GLOSS20,GLOSS60,GLOSS85,HAZE,DOI,Rspec
1,32.78,59.82,93.99,2.82,92.58,20.92
2,31.96,57.5,93.1,2.88,78.97,14.35
3,33.46,59.32,92.81,2.93,92.7,21.43
4,34.85,58.16,93.01,2.67,93.36,22.85
5,24.84,49.9,90.46,2.52,81.8,12.03
6,31.95,55.84,89.48,3.1,85.07,16.4
7,31.12,56.43,89.48,3.1,89.42,17.73
8,38.4,62.47,94.13,2.92,92.7,24.87
9,34.24,59.95,92.94,2.8,79.66,16.33
10,28.78,56.18,92.76,3.78,86.39,15.08
11,62.84,78.05,96.22,2.33,88.15,37.8
12,61.19,78.12,96.08,1.72,92.41,41.16
13,56.96,76.82,95.36,2.26,63.03,21.08
14,54.48,71.38,95.54,2.61,90.99,33.79
15,57.19,76.76,96.65,2.3,84.02,30.57
16,62.68,78.02,96.52,2.18,92.64,41.32
17,60.43,75.91,96.58,2.29,93.05,39.37
18,57.99,76.66,96.95,2.36,92.95,38.23
19,64.72,79.38,96.72,2.12,94.82,45.6
20,47.18,66.91,94.48,5.43,82.36,23.48
21,38.56,76.11,42.82,21.03,5.19,5.94
22,31.02,71.12,41.64,23.29,5.52,4.66
23,31.19,71.18,40.54,23.2,5.03,4.69
24,32.85,72.28,40.42,23.08,4.21,4.88
25,32.22,70.11,41.76,24.78,6.22,4.91
26,35.59,73.06,43.35,24.97,6.25,5.42
27,37.35,77.91,44.32,22.49,4.78,5.71
28,38.35,76.59,43.73,23.86,6.91,5.92
29,37.19,77.6,43.79,22.41,6.87,5.75
30,34.36,71.54,42.39,24.43,5.81,5.19
31,27.38,68.56,40.79,25.61,3.34,4.09
32,27.59,68.24,41.2,26.01,5.41,4.14
33,25.96,67.49,40.11,25.96,2.96,3.87
34,25.94,67.46,39.17,25.71,5.18,3.88
35,29.95,70.83,42.79,24.92,6.42,4.54
36,24.89,68.3,44.13,25.7,3.39,3.7
37,29.22,70.37,41.08,25.12,5.43,4.4
38,30.27,71.44,44.2,25.2,3.35,4.45
39,30.77,70.37,40.86,24.32,3.31,4.59
40,25.85,68.11,40.76,25.85,4.39,3.88
41,16.78,57.14,39.11,23.2,2.91,2.55
42,19.41,61.67,41.11,23.88,4.38,2.94
43,18.54,57.71,43.2,22.72,3.58,2.8
44,21.54,61.73,38.33,23.68,5.63,3.27
45,19.44,61.07,36.43,25.0,1.89,2.91
46,20.14,62.67,38.48,23.41,2.34,2.98
47,18.7,60.82,38.86,22.93,3.29,2.8
48,18.65,58.24,44.17,22.76,3.35,2.8
49,17.17,57.4,45.29,21.24,3.9,2.61
50,18.99,60.29,41.76,23.95,2.41,2.85
51,6.1,28.5,36.04,13.61,1.8,1.02
52,9.35,35.43,46.57,18.04,1.96,1.5
53,9.98,37.67,53.81,17.98,0.88,1.58
54,9.81,37.85,52.81,18.02,2.43,1.56
55,20.16,54.32,63.21,24.63,2.36,3.03
56,25.23,63.43,69.85,25.09,3.65,3.8
57,9.44,37.93,50.72,17.88,1.7,1.51
58,9.23,37.43,54.97,18.16,0.38,1.47
59,16.52,50.64,63.68,23.27,1.47,2.48
60,27.62,65.75,66.71,24.2,3.41,4.11
61,7.94,35.04,40.61,16.93,1.69,1.3
62,8.05,33.33,33.66,17.36,2.9,1.32
63,6.1,28.42,28.95,13.75,1.03,1.02
64,5.69,27.64,29.01,12.46,1.15,0.95
65,5.59,28.27,31.92,12.11,1.55,0.94
66,3.63,21.88,27.3,8.88,1.37,0.64
67,3.63,22.11,27.76,8.85,0.66,0.64
68,4.23,24.06,28.65,10.09,0.66,0.73
69,5.2,26.09,27.5,11.73,1.41,0.88
70,5.35,27.51,30.33,11.64,0.6,0.89
